"TAX","Tax","GOV","Government","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"5110","5110 General taxes","SUPRA","Supranational","1985","1985","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1986","1986","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1987","1987","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1988","1988","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1989","1989","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1990","1990","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1991","1991","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1992","1992","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1993","1993","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1994","1994","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1995","1995","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1996","1996","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1997","1997","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1998","1998","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","1999","1999","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","2000","2000","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","2001","2001","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","2002","2002","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","2003","2003","GBP","Pound Sterling","0","Units",,,0,,
"5110","5110 General taxes","SUPRA","Supranational","2004","2004","GBP","Pound Sterling","0","Units",,,0,,
